定义,数据类型,地址偏移量,
测试交互,Struct,0,
MES心跳,Bool,0,
允许测试,Bool,0.1,
测试状态,UInt,2,1:测试中；2:OK；4:NG
旋变1控制模式,Int,4,2:角度；4:回零；7:连续旋转；
旋变1转速,UInt,6,
旋变1角度,UInt,8,
旋变1启动,Bool,10,
旋变1允许启动,Bool,10.1,
旋变1角度完成,Bool,10.2,
旋变2控制模式,Int,12,2:角度；4:回零；7:连续旋转；
旋变2转速,UInt,14,
旋变2角度,UInt,16,
旋变2启动,Bool,18,
旋变2允许启动,Bool,18.1,
旋变2角度完成,Bool,18.2,
产品类型,UInt,20,
产品码,String[32],22,
动作流程,WString[15],56,
备用,Array[0..9] of Word,90,
管理模式,Struct,110,
蜂鸣器启用,Bool,110,
MES启动,Bool,110.1,
节能减排启用,Bool,110.2,
NG报警提示启用,Bool,110.3,
电机手动,Struct,112,
手自动切换,Bool,112,
主线电机正转,Bool,112.1,
主线电机反转,Bool,112.2,
横移电机正转,Bool,112.3,
横移电机反转,Bool,112.4,
支线电机正转,Bool,112.5,
支线电机反转,Bool,112.6,
Input,Struct,114,
I20.0,Bool,114,按钮_启动
I20.1,Bool,114.1,按钮_停止
I20.2,Bool,114.2,按钮_复位
I20.3,Bool,114.3,按钮_急停
I20.4,Bool,114.4,后安全门开门按钮
I20.5,Bool,114.5,备用
I20.6,Bool,114.6,备用
I20.7,Bool,114.7,气源检测信号
I21.0,Bool,115,安全门信号_前_左
I21.1,Bool,115.1,安全门信号_前_右
I21.2,Bool,115.2,安全门信号_后_左
I21.3,Bool,115.3,安全门信号_后_右
I21.4,Bool,115.4,电控箱门锁信号
I21.5,Bool,115.5,备用
I21.6,Bool,115.6,备用
I21.7,Bool,115.7,备用
I22.0,Bool,116,急停安全继电器信号
I22.1,Bool,116.1,前安全门继电器信号
I22.2,Bool,116.2,后安全门继电器信号
I22.3,Bool,116.3,电控箱安全继电器信号
I22.4,Bool,116.4,备用
I22.5,Bool,116.5,变频器报警
I22.6,Bool,116.6,备用
I22.7,Bool,116.7,备用
I23.0,Bool,117,备用
I23.1,Bool,117.1,备用
I23.2,Bool,117.2,备用
